CS A150,C++ Programming 1,Computer Science
CS A170,Java Programming 1,Computer Science
CS A200,Data Structures,Computer Science
CS A216,Computer Architecture,Computer Science
CS A220,Software Engineering,Computer Science
CS A250,C++ Programming 2,Computer Science
CS A257,Boolean Algebra and Logic,Computer Science
CS A262,Discrete Structures,Computer Science
CS A272,Java Programming 2, Computer Science
CS A273,Mobile Application Development,Computer Science
MATH A180,Calculus 1,Math
MATH A185,Calculus 2,Math
MATH A280,Calculus 3,Math
MATH A285,Linear Algebra and Differential Equations,Math
HIST A170,History of U.S. to 1876,History
ENGL A100,Freshman Composition,English
ENGL A101,Critical Thinking/Rdg/Wrtg Lit,English
MUS A105,Music from Bach to Rock,Music
MUS A115,Fundamentals of Music,Music

